,louvain,girvan_newman,label_prop,official_sector
AAPL,0,0,0,Technology
AMZN,0,0,0,Consumer
BA,1,0,0,Industrials
BAC,1,0,0,Financials
BRK-B,2,0,0,Financials
GOOGL,0,0,0,Technology
GS,1,0,0,Financials
HD,0,0,0,Consumer
HON,2,0,0,Industrials
JPM,1,0,0,Financials
META,0,0,0,Technology
MSFT,0,0,0,Technology
NKE,0,0,0,Consumer
NVDA,0,0,0,Technology
TSLA,0,0,0,Consumer
UPS,0,0,0,Industrials
V,0,0,0,Financials
ABBV,2,0,0,Healthcare
JNJ,2,0,0,Healthcare
PFE,2,0,0,Healthcare
UNH,2,0,0,Healthcare
CAT,1,0,0,Industrials
COP,1,0,0,Energy
CVX,1,0,0,Energy
GE,1,0,0,Industrials
SLB,1,0,0,Energy
XOM,1,0,0,Energy
NEE,2,0,0,Energy
LLY,2,1,0,Healthcare
WMT,3,2,1,Consumer
