,out,in,ratio,class
AAPL,27,21,1.2272727272727273,Neutral
ABBV,26,16,1.5294117647058822,Leader
AMZN,3,23,0.125,Follower
BA,27,25,1.0384615384615385,Neutral
BAC,26,18,1.368421052631579,Leader
BRK-B,29,15,1.8125,Leader
CAT,19,15,1.1875,Neutral
COP,27,25,1.0384615384615385,Neutral
CVX,27,24,1.08,Neutral
GE,13,15,0.8125,Neutral
GOOGL,15,23,0.625,Neutral
GS,26,18,1.368421052631579,Leader
HD,18,27,0.6428571428571429,Neutral
HON,21,20,1.0,Neutral
JNJ,27,25,1.0384615384615385,Neutral
JPM,29,12,2.230769230769231,Leader
LLY,24,20,1.1428571428571428,Neutral
META,11,20,0.5238095238095238,Follower
MSFT,22,23,0.9166666666666666,Neutral
NKE,7,14,0.4666666666666667,Follower
NVDA,8,22,0.34782608695652173,Follower
PFE,15,21,0.6818181818181818,Neutral
SLB,22,20,1.0476190476190477,Neutral
UNH,29,21,1.3181818181818181,Leader
UPS,7,21,0.3181818181818182,Follower
V,23,19,1.15,Neutral
WMT,25,21,1.1363636363636365,Neutral
XOM,18,27,0.6428571428571429,Neutral
NEE,24,19,1.2,Neutral
TSLA,7,12,0.5384615384615384,Follower
