ticker,direction_prob,vol_forecast,regime_pred,regime_prob,date,regime_name
AAPL,0.4183906,-0.19691092,1,0.9,2024-12-27,Volatile
ABBV,0.5426635,-0.09409332,1,0.85,2024-12-27,Volatile
AMZN,0.46177995,0.0867435,1,0.94,2024-12-27,Volatile
BA,0.42568824,0.14733331,1,0.85,2024-12-27,Volatile
BAC,0.5162627,-0.23695792,1,0.91,2024-12-27,Volatile
BRK-B,0.49022004,-0.66038823,1,0.87,2024-12-27,Volatile
CAT,0.5103183,-0.5532755,1,0.92,2024-12-27,Volatile
COP,0.50869083,-0.5897041,1,0.92,2024-12-27,Volatile
CVX,0.53567886,-0.61114395,1,0.91,2024-12-27,Volatile
GE,0.47644615,-0.051167898,1,0.92,2024-12-27,Volatile
GOOGL,0.46597973,0.072344854,1,0.91,2024-12-27,Volatile
GS,0.5705187,0.17157637,1,0.88,2024-12-27,Volatile
HD,0.5353064,-0.19906785,1,0.88,2024-12-27,Volatile
HON,0.40685347,-0.32666415,1,0.93,2024-12-27,Volatile
JNJ,0.45222342,-0.7505113,1,0.96,2024-12-27,Volatile
JPM,0.55108404,-0.1546054,1,0.87,2024-12-27,Volatile
LLY,0.4998863,0.659791,1,0.96,2024-12-27,Volatile
META,0.47549847,0.43943158,1,0.9,2024-12-27,Volatile
MSFT,0.42849663,-0.21952507,1,0.9,2024-12-27,Volatile
NEE,0.53946024,-0.014298409,1,0.9,2024-12-27,Volatile
NKE,0.39628574,-0.5401182,1,0.91,2024-12-27,Volatile
NVDA,0.52127343,1.2811189,1,0.88,2024-12-27,Volatile
PFE,0.48958167,-0.14562863,1,0.88,2024-12-27,Volatile
SLB,0.53816724,-0.6393419,1,0.89,2024-12-27,Volatile
TSLA,0.48537314,4.3871107,1,0.81,2024-12-27,Volatile
UNH,0.55942225,-0.10382669,1,0.69,2024-12-27,Volatile
UPS,0.49583757,-0.19098784,1,0.81,2024-12-27,Volatile
V,0.48693728,-0.46183428,1,0.77,2024-12-27,Volatile
WMT,0.48737586,1.0902475,1,0.78,2024-12-27,Volatile
XOM,0.47318667,-0.98350483,1,0.68,2024-12-27,Volatile
