,ann_ret,ann_vol,VaR_99,CVaR_99,max_drawdown,sharpe,sortino,calmar,sector
AAPL,0.3175625300399866,0.3085043834048526,-0.0530324975837973,-0.07311024450154618,-0.3517886593999555,1.0293614843820449,1.3790265643905224,0.9027082640516374,Technology
ABBV,0.15872546039756882,0.25503384251967737,-0.04417846931639837,-0.07761287176837828,-0.35749617087997665,0.622370187538237,0.7023860475107764,0.4439920573327154,Healthcare
AMZN,0.17651346185990094,0.34134113249279224,-0.05668789210339132,-0.07752744878702014,-0.6189388913060521,0.5171174671239722,0.7221390547888075,0.28518722015905573,Consumer
BA,-0.09656232798747624,0.4825483945000208,-0.07851953959228564,-0.1337505790471044,-0.8450687253617444,-0.20010910633642587,-0.25359276405140274,-0.11426565093406017,Industrials
BAC,0.11893203351793809,0.3388620438518508,-0.05458683301869679,-0.08196274546992076,-0.5255411419333,0.3509747865710646,0.4793170564193179,0.22630394469294005,Financials
BRK-B,0.13399044220769207,0.20780286084915967,-0.034712034299559755,-0.05452390068127352,-0.31918889412237655,0.6447959458313393,0.8335098258324639,0.41978416127573764,Financials
CAT,0.19933626264381676,0.31702547531060876,-0.055387009090770295,-0.07676082400681641,-0.4087267251934397,0.628770487445891,0.8515059506299805,0.48770058417265494,Industrials
COP,0.1059463448051672,0.42030294864633383,-0.07053411237670132,-0.10981132037934886,-0.7167347966723961,0.25207138124152517,0.3252724627792605,0.14781805668853687,Energy
CVX,0.08668488328786822,0.3358571804197384,-0.048461791962701645,-0.09272473527316916,-0.6006852851498341,0.2581004317952457,0.30682973887670484,0.14430998299924339,Energy
GE,0.2503212438322583,0.3964047391141926,-0.06959772156265383,-0.09818817708859826,-0.6254193035124762,0.6314789383992406,0.8588283032509473,0.40024547120052995,Industrials
GOOGL,0.21588567640003328,0.3122763413472188,-0.05285728185796008,-0.07272982761471991,-0.4795457089726944,0.6913289539279918,0.9269651999733041,0.4501879015089382,Technology
GS,0.2250892003184464,0.3165037965028493,-0.045957463935076125,-0.0810908716273434,-0.49021144537550976,0.7111737767620112,0.9614104632545956,0.45916757440460104,Financials
HD,0.1607866729854144,0.27676553006812393,-0.0458415096080111,-0.07723799676288884,-0.41663406236988304,0.580949054406587,0.6809304737619921,0.3859182133857068,Consumer
HON,0.11117152082386395,0.258130743429692,-0.04436134436762294,-0.06795265357644398,-0.45337266339807075,0.43067911767024425,0.5478812643865584,0.2452100221275428,Industrials
JNJ,0.04706657198973973,0.191339511984524,-0.0338043894603992,-0.04942769827941212,-0.29019349717174153,0.24598459304916898,0.33143399502240045,0.16219030560111042,Healthcare
JPM,0.1762695663358586,0.3059000395575736,-0.05017198028164757,-0.07722396811147664,-0.47296799014118146,0.5762325712373202,0.7496026996932754,0.3726881522854051,Financials
LLY,0.33331409878497287,0.305382801201573,-0.04251801930085439,-0.06410117808745013,-0.25127362489031013,1.0914632306518248,1.673376297745715,1.326498548864714,Healthcare
META,0.24660828628456108,0.42955247875551505,-0.06607382401815842,-0.1120411219665626,-0.8175061109699119,0.5741051407712191,0.6951831492041475,0.3016592573136587,Technology
MSFT,0.24975217385171344,0.29027622539014336,-0.04552695271038345,-0.06669087862771594,-0.4061005913361631,0.8603948653253848,1.1418924426816623,0.6150007638008409,Technology
NEE,0.11134063890996716,0.28449047721104914,-0.05317656315204995,-0.07783984411918252,-0.4907049121317459,0.39136859694382375,0.488515509641551,0.22689937711500655,Energy
NKE,0.012697624016522496,0.33099763301083207,-0.05962296020748775,-0.09271109475134978,-0.65357981192393,0.038361676187898784,0.04720833904765045,0.019427809404248198,Consumer
NVDA,0.6193452443326504,0.5160425155656039,-0.07842565012242461,-0.10314261098117301,-0.7186772557617326,1.2001825928118004,1.7923334139204359,0.8617849519617825,Technology
PFE,-0.031707860112970464,0.2620643641543315,-0.04708433624420494,-0.06094348993776689,-0.5799509128665779,-0.12099264322064594,-0.1784680089059406,-0.054673351501845296,Healthcare
SLB,0.030338445910193725,0.47216240390248343,-0.07649523221247738,-0.12004097464150729,-0.7737197760917002,0.06425426010085204,0.08287679581848055,0.03921115479746773,Energy
TSLA,0.5021885092392745,0.6434244604422928,-0.1202996129193386,-0.14937976723192875,-0.7988125944815034,0.7804933447728547,1.0836073196100917,0.6286687424667322,Consumer
UNH,0.13791012632194022,0.2923062395116772,-0.05202151081180998,-0.07682689253867231,-0.3961458795363538,0.4718001454650129,0.5955099526625353,0.3481296498233156,Healthcare
UPS,0.07706375032854822,0.2924898272152236,-0.053053923513942246,-0.07686591239455719,-0.46980928605777433,0.2634749764197515,0.35464549242309246,0.16403198620274054,Industrials
V,0.15132122556447547,0.2648586699701077,-0.049430748796950495,-0.06549980153195432,-0.38869419522585585,0.5713281939441657,0.7322494561703105,0.3893066256792137,Financials
WMT,0.1944342643616005,0.2142536822513753,-0.03187648339907132,-0.0581390504390574,-0.2678800944273639,0.9074955553551631,1.1517371012091653,0.7258257272800898,Consumer
XOM,0.11804988898539275,0.3226240308432992,-0.05087100031759507,-0.07558372576414123,-0.637010908774608,0.36590544317738816,0.5121487684022039,0.18531847313648134,Energy
